prompt_id,model_a,model_b,equal,delta_pp
id_1,llama3.1:8b,llama3.1:8b,True,0
id_2,llama3.1:8b,llama3.1:8b,True,0
id_3,llama3.1:8b,llama3.1:8b,True,0
id_4,llama3.1:8b,llama3.1:8b,True,0
id_5,llama3.1:8b,llama3.1:8b,True,0
id_6,llama3.1:8b,llama3.1:8b,True,0
id_7,llama3.1:8b,llama3.1:8b,True,0
id_8,llama3.1:8b,llama3.1:8b,True,0
id_9,llama3.1:8b,llama3.1:8b,True,0
id_10,llama3.1:8b,llama3.1:8b,True,0
id_11,llama3.1:8b,llama3.1:8b,True,0
id_12,llama3.1:8b,llama3.1:8b,True,0
id_13,llama3.1:8b,llama3.1:8b,True,0
id_14,llama3.1:8b,llama3.1:8b,True,0
id_15,llama3.1:8b,llama3.1:8b,True,0
id_16,llama3.1:8b,llama3.1:8b,True,0
id_17,llama3.1:8b,llama3.1:8b,True,0
id_18,llama3.1:8b,llama3.1:8b,True,0
id_19,llama3.1:8b,llama3.1:8b,True,0
id_20,llama3.1:8b,llama3.1:8b,True,0
id_21,llama3.1:8b,llama3.1:8b,True,0
id_22,llama3.1:8b,llama3.1:8b,True,0
id_23,llama3.1:8b,llama3.1:8b,True,0
id_24,llama3.1:8b,llama3.1:8b,True,0
id_25,llama3.1:8b,llama3.1:8b,True,0
id_26,llama3.1:8b,llama3.1:8b,True,0
id_27,llama3.1:8b,llama3.1:8b,True,0
id_28,llama3.1:8b,llama3.1:8b,True,0
id_29,llama3.1:8b,llama3.1:8b,True,0
id_30,llama3.1:8b,llama3.1:8b,True,0
